"contig" "path_class"
"c15048" "Folding, sorting and degradation"
"c15068" "Energy metabolism"
"c15455" "Amino acid metabolism"
"c15572" "Metabolism of other amino acids"
"c15572" "Carbohydrate metabolism"
"c15719" "Amino acid metabolism"
"c15843" "Energy metabolism"
"c15942" "Nucleotide metabolism"
"c15975" "Signal transduction"
"c15975" "Lipid metabolism"
"c16309" "Glycan biosynthesis and metabolism"
"c16471" "Metabolism of cofactors and vitamins"
"c16687" "Folding, sorting and degradation"
"c16742" "Lipid metabolism"
"c16973" "Nucleotide metabolism"
"c16998" "Carbohydrate metabolism"
"c17138" "Energy metabolism"
"c17421" "Metabolism of cofactors and vitamins"
"c17497" "Nucleotide metabolism"
"c17497" "Xenobiotics biodegradation and metabolism"
"c17517" "Nucleotide metabolism"
"c17694" "Metabolism of terpenoids and polyketides"
"c17823" "Carbohydrate metabolism"
"c17823" "Amino acid metabolism"
"c17823" "Metabolism of other amino acids"
"c17823" "Lipid metabolism"
"c18178" "Amino acid metabolism"
"c18301" "Lipid metabolism"
"c18306" "Lipid metabolism"
"c18306" "Amino acid metabolism"
"c18315" "Nucleotide metabolism"
"c18315" "Metabolism of cofactors and vitamins"
"c18523" "Transcription"
"c18686" "Energy metabolism"
"c18686" "Carbohydrate metabolism"
"c18794" "Lipid metabolism"
"c19663" "Carbohydrate metabolism"
"c19738" "Nucleotide metabolism"
"c19738" "Carbohydrate metabolism"
"c20526" "Amino acid metabolism"
"c20633" "Transcription"
"c20668" "Carbohydrate metabolism"
"c20668" "Amino acid metabolism"
"c20694" "Replication and repair"
"c20714" "Carbohydrate metabolism"
"c20740" "Metabolism of cofactors and vitamins"
"c20793" "Transcription"
"c21005" "Carbohydrate metabolism"
"c21064" "Metabolism of cofactors and vitamins"
"c21327" "Nucleotide metabolism"
"c21366" "Translation"
"c21438" "Translation"
"c21442" "Translation"
"c21452" "Nucleotide metabolism"
"c21521" "Translation"
